date_no,date,Hour,Turbidity,sdi,ph,temp,cf,cp,qc,qp,pf,pc,pp,sspn,qspn,dpn,wtcn,stcn,rec,dp,day,to,cfo,cpo,qco,qpo,pfo,pco,ppo,conf,cfave,fop ave,pop,dpo,ndp,sfx,ssp,ssr,tcf,aspn
42205.00,20-07-2015 00:00,8,0.18,2.8,7.61,28.84,54700,470,334,164,47.1,45.92,0.95,0.45894073,194.02421,1.268827765,4.25E-09,1.57E-08,0.329317269,1.18,11.33333333,28.84,36121.67969,219.3187121,1470.55524,722.06904,682.95,665.84,13.775,1.212991609,43815.29436,532.6405812,2.549888892,17.11,130.5293076,7.42699584,0.500552867,99.49944713,1.122172107,0.147238419
42206.00,21-07-2015 00:00,8,0.09,2.4,7.56,25.97,53012,341,340,171,48.65,47.41,0.97,0.389429416,166.9571983,1.256149416,3.56E-09,1.33E-08,0.334637965,1.24,26.33333333,25.97,34961,159.1227252,1496.9724,752.88906,705.425,687.445,14.065,1.217506725,42565.25262,511.8552479,1.832324758,17.98,172.3470769,7.74400176,0.373832446,99.62616755,1.029832563,0.12493764
42207.00,22-07-2015 00:00,8,0.08,2.4,7.52,27.16,53600,419,312,151,45.9,44.9,0.95,0.405626725,188.327379,1.168388152,4.04E-09,1.39E-08,0.326133909,1,29.33333333,27.16,35346.875,195.5202986,1373.69232,664.83186,665.55,651.05,13.775,1.210312252,42780.75589,516.6106655,2.2604927,14.5,130.1748272,6.83827056,0.457028621,99.54297138,1.067372612,0.130134098
42208.00,23-07-2015 00:00,12,0.09,2.6,7.52,27.6,53650,399,324,180,47.73,46.44,0.97,0.444161918,204.6182698,1.379822566,4.46E-09,1.52E-08,0.357142857,1.29,31.5,27.6,35379.6875,186.1875875,1426.52664,792.5148,692.085,673.38,14.065,1.237131706,43769.33317,529.8705196,2.155728619,18.705,140.952709,8.1515808,0.425383651,99.57461635,1.08151924,0.142497047
42209.00,24-07-2015 00:00,4,0.08,2.8,7.5,28.46,53270,390,304,151,46.48,45.57,1.01,0.363971229,171.9486509,1.108674411,3.69E-09,1.24E-08,0.331868132,0.91,32.16666667,28.46,35130.3125,181.9878675,1338.46944,664.83186,673.96,660.765,14.645,1.215150473,42688.61586,517.6808065,2.113122591,13.195,137.1498161,6.83827056,0.426314753,99.57368525,1.109589977,0.116770086
42210.00,25-07-2015 00:00,8,0.09,2.6,7.41,28.06,53620,435,344,179,48.9,47.58,0.95,0.480325179,172.979975,1.329737684,3.75E-09,1.64E-08,0.342256214,1.32,35.33333333,28.06,35360,202.9864676,1514.58384,788.11194,709.05,689.91,13.775,1.224053178,43282.52038,524.5119767,2.353866492,19.14,163.5468897,8.10629424,0.468980239,99.53101976,1.096464289,0.154099027
42211.00,26-07-2015 00:00,8,0.09,2.4,7.5,28.03,52660,406,343,178,48.54,47.21,0.96,0.454486153,167.6102316,1.34593704,3.58E-09,1.55E-08,0.341650672,1.33,36.33333333,28.03,34730,189.4540364,1510.18098,783.70908,703.83,684.545,13.92,1.223529263,42493.1713,514.4705997,2.196693406,19.285,167.9935937,8.06100768,0.44584584,99.55415416,1.095484748,0.145809292
42212.00,27-07-2015 00:00,20,0.08,2.8,7.6,28.23,52570,434,344,179,48.78,47.48,0.96,0.486277758,163.4707427,1.311750344,3.49E-09,1.66E-08,0.342256214,1.3,37.83333333,28.23,34670.9375,202.519832,1514.58384,788.11194,707.31,688.46,13.92,1.224053178,42439.07124,514.1279259,2.349780314,18.85,172.1868544,8.10629424,0.477201376,99.52279862,1.102027883,0.156008747
42213.00,28-07-2015 00:00,8,0.09,2.85,7.82,29.39,52760,484,320,150,45.37,44.2,0.97,0.444614405,177.2945696,1.359863995,3.77E-09,1.52E-08,0.319148936,1.17,41.33333333,29.39,34795.625,225.8516099,1408.9152,660.429,657.865,640.9,14.065,1.20448999,41910.98201,509.4046656,2.630644918,16.965,128.5434794,6.792984,0.53888408,99.46111592,1.140578956,0.142642215
42214.00,29-07-2015 00:00,8,0.11,2.61,7.72,29.58,53040,385,336,181,48.15,46.93,0.97,0.41309183,178.6365438,1.275876,3.87E-09,1.41E-08,0.350096712,1.22,43.33333333,29.58,34979.375,179.6546897,1479.36096,796.91766,698.175,680.485,14.065,1.23089335,43055.88009,524.2755806,2.093776522,17.69,153.0831959,8.19686736,0.41725936,99.58274064,1.146991836,0.13252907
