lowlow,low,reference,high,highhigh,parameter,stageId
-40,-20,0.42,20,40,NSP,STAGE-1-P1T1P1-328
-40,-20,172.48,20,40,NPF,STAGE-1-P1T1P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-1-P1T1P1-328
-40,-20,0.42,20,40,NSP,STAGE-1-P1T1P2-328
-40,-20,172.48,20,40,NPF,STAGE-1-P1T1P2-328
-40,-20,1.330428571,20,40,NDP,STAGE-1-P1T1P2-328
-40,-20,0.42,20,40,NSP,STAGE-1-P1T2P1-328
-40,-20,172.48,20,40,NPF,STAGE-1-P1T2P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-1-P1T2P1-328
-40,-20,0.42,20,40,NSP,STAGE-1-P2T2P1-328
-40,-20,172.48,20,40,NPF,STAGE-1-P2T2P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-1-P2T2P1-328
-40,-20,0.42,20,40,NSP,STAGE-2-P1T1P1-328
-40,-20,172.48,20,40,NPF,STAGE-2-P1T1P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-2-P1T1P1-328
-40,-20,0.42,20,40,NSP,STAGE-2-P2T2P1-328
-40,-20,172.48,20,40,NPF,STAGE-2-P2T2P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-2-P2T2P1-328
-40,-20,0.42,20,40,NSP,STAGE-3-P1T1P1-328
-40,-20,172.48,20,40,NPF,STAGE-3-P1T1P1-328
-40,-20,1.330428571,20,40,NDP,STAGE-3-P1T1P1-328
